owner,amount_ui,amount_raw,classification
DL6rYDtxEKjGS6jsJ8wWbH9mk1NSfQV4SLZxMwhundG6,100,10000000000,REAL_HOLDER
BMc2nwbsiaUNSecZgyDGxQhkdY72moFjLww4KPhugvPo,96.14856212,9614856212,REAL_HOLDER
526C2EH99rX27aFmMQB6kR8caKG5N9qa1PLdgDXoMzKS,94.19055931,9419055931,REAL_HOLDER
ExVQf2LHpdvUsSN8QirVcwXhjRhfRkhmVdxhrSnqqAhy,93.77903838,9377903838,REAL_HOLDER
GL8T72PKygWaYrLKtSteN9UUvYYnuC8azNDunk4eaqqQ,89.61,8961000000,REAL_HOLDER
7Pae6J5wt2r2D4RfJkN8vduvTkzBmNCNqcodRAndMhLR,81.83053564,8183053564,REAL_HOLDER
8Yy41v41HqpNyvXmqRMLMrM3dQxYimE1dzg8ofxLL2Qi,79.83684346,7983684346,REAL_HOLDER
Ee7ktRU5cN7vN2aPmJ49PmT1ebsvFgPzHHiNkUyCHyNd,77.09749663,7709749663,REAL_HOLDER
2Pbz9M4DMd8sAdZdkTcZACFPXxxzQbBa7MXC7npjSm6Y,76.51764,7651764000,REAL_HOLDER
Fe9qa34mAgz9fxZM2PhM7WCL7YkTWfSMWts2RJYLxbiC,75.65628074,7565628074,REAL_HOLDER
CAMSYmLC8G7bThVf1e8d4LFvbLHps7454aGY8LkeFvLg,75.05076339,7505076339,REAL_HOLDER
Ay1vrqfSSmn5JYz7viZcKmki751bEh7v5V4WPp67nMFi,74.62177909,7462177909,REAL_HOLDER
Eyimd3SXC8XZRtV9uw8hYTqZr2D1gF5GanHqC2NXjxe4,72.85121089,7285121089,REAL_HOLDER
38i2HK88h2fcLq2B5axWGRENA2F8ULJx91rJL9tK7KqZ,72.24262128,7224262128,REAL_HOLDER
DJ6p3yvyJwQDfDE9v3KQTv1EZJ5LZBE4CmQcUUzLHGQA,70.57246092,7057246092,REAL_HOLDER
BGsYmLEa1WDAMjTPe9GYMhQZCZcuKVWU8M28Z1n2Pn6R,69.55458318,6955458318,REAL_HOLDER
4juHmBZwJG3qbqx8WMVxc1xBk76MLEiL2FeX9gib1DNw,69.24967028,6924967028,REAL_HOLDER
A4m65wvJJLAp4BdDWu7JHLVjgzJppcbzpTWumGEGWU5k,68.72498646,6872498646,REAL_HOLDER
6Kf47CACpQX1LMTrv1tU2ipc1omgibCNuFqMbZ3ujYXc,66.69551761,6669551761,REAL_HOLDER
24ga1BEpgJCCXBV8aFUAqV2zGJsdzjSsorw8sXKyGg5i,65.66182528,6566182528,REAL_HOLDER
FSuR3JwThWZV4uHpNWtYHAumjLvzqD13tW6dnNNCmm63,65.12939492,6512939492,REAL_HOLDER
D7WQHscxssQsFrEje5PasEVDGkxuVk2LEe6he1TYwZTQ,63.79155302,6379155302,REAL_HOLDER
6JqSYj3NauMxV65o55HJovA6Lcv2BqfSG7b3vgyfJibv,63.50987457,6350987457,REAL_HOLDER
7KFJFy9xwCqytcPKqaXNPpcveGJ4N7RyNqeYTWL7xiS,62.39900685,6239900685,REAL_HOLDER
Hhny2uUEPUv7CBJBRUzZrpfzsVsWsrggXCd4dZinH7d4,62.21544454,6221544454,REAL_HOLDER
7nfbWrr27Gm2dCScQNdsZxDYBTJAPWZuCf3c5ixxR7ZH,62.0193073,6201930730,REAL_HOLDER
8EyY2iACYcT62z2XJ9wd9SQ5MUya3dcCStDbuH6YvWZR,60.70344734,6070344734,REAL_HOLDER
3seRwYVGoecnzuD9FRdQy5FcprqfAWxVKwrpLqmmisiJ,58.90825994,5890825994,REAL_HOLDER
9i45oWp9agLpd1Gkv1ryZwhcxixW6PML5V9Ndvao5U1V,58.46116453,5846116453,REAL_HOLDER
3xUZn84ariZe5j61YrmrV1itj44UQXVFeNVAqGL2m27C,57.70668041,5770668041,REAL_HOLDER
3BCRnTsUhbaQJ1aAQNN4v7KxZj4QcJBJzPNEZqK6RvHB,57.30519878,5730519878,REAL_HOLDER
