owner,amount_ui,amount_raw
GL8T72PKygWaYrLKtSteN9UUvYYnuC8azNDunk4eaqqQ,89.61,8961000000
7Pae6J5wt2r2D4RfJkN8vduvTkzBmNCNqcodRAndMhLR,81.83053564,8183053564
8Yy41v41HqpNyvXmqRMLMrM3dQxYimE1dzg8ofxLL2Qi,79.83684346,7983684346
Ee7ktRU5cN7vN2aPmJ49PmT1ebsvFgPzHHiNkUyCHyNd,77.09749663,7709749663
2Pbz9M4DMd8sAdZdkTcZACFPXxxzQbBa7MXC7npjSm6Y,76.51764,7651764000
Fe9qa34mAgz9fxZM2PhM7WCL7YkTWfSMWts2RJYLxbiC,75.65628074,7565628074
CAMSYmLC8G7bThVf1e8d4LFvbLHps7454aGY8LkeFvLg,75.05076339,7505076339
Ay1vrqfSSmn5JYz7viZcKmki751bEh7v5V4WPp67nMFi,74.62177909,7462177909
Eyimd3SXC8XZRtV9uw8hYTqZr2D1gF5GanHqC2NXjxe4,72.85121089,7285121089
38i2HK88h2fcLq2B5axWGRENA2F8ULJx91rJL9tK7KqZ,72.24262128,7224262128
DJ6p3yvyJwQDfDE9v3KQTv1EZJ5LZBE4CmQcUUzLHGQA,70.57246092,7057246092
BGsYmLEa1WDAMjTPe9GYMhQZCZcuKVWU8M28Z1n2Pn6R,69.55458318,6955458318
4juHmBZwJG3qbqx8WMVxc1xBk76MLEiL2FeX9gib1DNw,69.24967028,6924967028
A4m65wvJJLAp4BdDWu7JHLVjgzJppcbzpTWumGEGWU5k,68.72498646,6872498646
6Kf47CACpQX1LMTrv1tU2ipc1omgibCNuFqMbZ3ujYXc,66.69551761,6669551761
24ga1BEpgJCCXBV8aFUAqV2zGJsdzjSsorw8sXKyGg5i,65.66182528,6566182528
FSuR3JwThWZV4uHpNWtYHAumjLvzqD13tW6dnNNCmm63,65.12939492,6512939492
D7WQHscxssQsFrEje5PasEVDGkxuVk2LEe6he1TYwZTQ,63.79155302,6379155302
6JqSYj3NauMxV65o55HJovA6Lcv2BqfSG7b3vgyfJibv,63.50987457,6350987457
7KFJFy9xwCqytcPKqaXNPpcveGJ4N7RyNqeYTWL7xiS,62.39900685,6239900685
Hhny2uUEPUv7CBJBRUzZrpfzsVsWsrggXCd4dZinH7d4,62.21544454,6221544454
7nfbWrr27Gm2dCScQNdsZxDYBTJAPWZuCf3c5ixxR7ZH,62.0193073,6201930730
8EyY2iACYcT62z2XJ9wd9SQ5MUya3dcCStDbuH6YvWZR,60.70344734,6070344734
3seRwYVGoecnzuD9FRdQy5FcprqfAWxVKwrpLqmmisiJ,58.90825994,5890825994
9i45oWp9agLpd1Gkv1ryZwhcxixW6PML5V9Ndvao5U1V,58.46116453,5846116453
3xUZn84ariZe5j61YrmrV1itj44UQXVFeNVAqGL2m27C,57.70668041,5770668041
3BCRnTsUhbaQJ1aAQNN4v7KxZj4QcJBJzPNEZqK6RvHB,57.30519878,5730519878
EUsvHFkS19ho4rsJB1fHB3rskzomaVbBNtxC2PzMCgVr,57.22617672,5722617672
DkwWQtXqHJtCVwfbS5ag9e9THdQ647mpMQ3tCmA7s1gd,56.43175185,5643175185
ZTiH8AicZ4Xu6K62cFhhGRaWeVmKVwYyz17H8RHAKjy,56.42117227,5642117227
GymLinbBEsab9soPVzvW2fdTvyd1AHKyQq3mxdoN3D9V,55.32647516,5532647516
GPY2XJuxmM4R7gFexXJmstqj4e5yQ79Lsezue5Z3uV1D,55.24622585,5524622585
H37eFA1QwCeviAe3CZ8mPrd2Rume8daDqDtApNhn79h5,54.14536426,5414536426
42eiZDL1eszuHz3aTsqGKy6zu3XwTtcjiDFghGjF3FFp,51.16295679,5116295679
7QbNaGciLzQEBfpYLkymLRLRTEbvQ7iDoeyjgT2ZTx3m,49.8314387,4983143870
Fb82vPNQ83Epx6MjTbcb3QtvWUUcowyoLUvwknBwkZbX,49.21864583,4921864583
3tqp1DeZwARP5DgbTB12fdMXyddd1xJeXp2jSyhm8ENf,48.86825463,4886825463
93UDwtzMzzXSXHSS6Rb5W7fw95dRSG3LCnETwvnQG9XM,48.69776228,4869776228
J4mq1ZDAvRMkzBr5aZYoieEqL5R2YPHkYeSWLN72uNS1,48.19268146,4819268146
